,elo_h,goals_last5_h,xG_last5_h,shots_last5_h,yellow_card_last5_h,red_card_last5_h,key_passes_last5_h,xA_last5_h,xGChain_last5_h,xGBuildup_last5_h,npxG_last5_h,ppda_att_last5_h,ppda_def_last5_h,deep_last5_h,xpts_last5_h,pts_last5_h,elo_last5_h,elo_a,goals_last5_a,xG_last5_a,shots_last5_a,yellow_card_last5_a,red_card_last5_a,key_passes_last5_a,xA_last5_a,xGChain_last5_a,xGBuildup_last5_a,npxG_last5_a,ppda_att_last5_a,ppda_def_last5_a,deep_last5_a,xpts_last5_a,pts_last5_a,elo_last5_a,goals
9857,1802.6583798214347,2.4,1.7392759999999998,14.6,2.2,0.0,10.8,1.3730738665908575,4.3552098769694565,1.998247202858329,1.7392759999999998,211.0,27.8,7.2,1.86868,2.4,1809.7634253105493,1745.8868244990688,2.0,1.9157098000000001,13.0,2.0,0.0,10.6,1.3268849719315767,5.344348746538162,3.0674294654279946,1.6111898,211.6,27.2,7.4,1.81768,2.4,1722.9850085401827,1.0
9858,1750.229585722099,2.6,2.07669,18.2,1.0,0.2,14.6,1.4611934768036008,5.768832541629672,3.336722975037992,1.7721706000000002,193.0,18.6,10.6,1.9522000000000002,2.0,1767.7009000640141,1815.8389108062358,2.2,2.08874,17.4,1.4,0.0,14.4,1.8394948776811362,7.932467052340508,5.775258301198482,2.08874,195.2,24.4,11.4,2.254,2.2,1835.5561230588996,2.0
9859,1814.3629014844948,1.8,1.3631822,16.2,1.8,0.0,11.4,0.8231957809999585,3.3464920438826082,1.927931933104992,1.2109222,249.0,23.4,8.6,1.9323000000000001,2.0,1799.429782403708,1781.903268026599,1.4,2.5140599999999997,22.8,1.8,0.2,16.2,1.5632285129278898,5.6148478128015995,3.462794757634401,2.209543,149.8,22.4,10.6,2.27944,2.2,1793.2972452107774,1.0
9860,1699.1481453939564,2.0,1.2912026,12.6,1.2,0.2,10.4,1.1888837326318025,4.537453100830317,2.8998336128890516,1.2912025999999999,180.2,19.8,7.6,1.71402,2.6,1679.069730527844,1857.4034954011454,2.0,1.3215979999999998,12.2,2.8,0.0,9.6,1.0881637247279285,4.516004414111376,2.842078670859337,1.321598,256.4,21.8,6.0,1.68842,2.0,1866.517908092981,0.0
9861,1919.4830396364066,1.8,1.586306,15.2,2.2,0.0,11.0,0.8756820088252425,3.263064293935895,1.849843588285148,1.2817868000000001,234.6,23.8,4.2,2.0361599999999997,3.0,1900.8781724028818,1609.2104002282447,2.2,1.932078,19.4,1.0,0.0,15.0,1.3091722706332802,4.550261339731515,2.687387082353234,1.7798254,217.2,21.8,7.0,1.57572,1.6,1617.9105701171998,1.0
9862,1606.5246278874486,1.4,1.424261,15.2,1.8,0.0,12.4,0.9151232883334159,3.5681537576019764,1.9399592515081168,1.424261,299.0,15.6,8.0,1.46556,2.2,1593.3981764279797,1825.4351604349526,1.4,1.0371106,13.4,2.0,0.0,11.4,0.8078878454864025,3.1805745299905537,2.0269012343138457,0.8848506,232.2,22.4,7.2,1.21098,1.6,1856.3711753795262,2.0
9863,1612.3173631963973,2.0,1.9400074,17.4,2.6,0.0,13.2,1.4155341479927301,5.081425642780959,2.9286059463396668,1.6354894000000002,236.6,22.0,8.2,1.5683999999999998,2.0,1637.7940488915272,1758.3841436013813,2.4,2.436609,18.6,1.8,0.2,11.8,1.3904545083642006,6.633667667582631,4.281975749135017,2.132091,211.2,26.2,8.2,2.04086,2.0,1752.444320318877,-1.0
9864,1663.2618199886545,1.6,2.3092002000000003,22.2,2.6,0.0,16.2,1.3310138564556837,5.113643707707524,2.8749781116843223,2.0046802,257.0,26.0,5.4,1.91776,1.4,1723.5357252012807,1571.811283178776,3.0,2.2484519999999995,16.4,1.8,0.0,12.2,1.3340703692287206,4.121961928531528,2.22964258864522,1.63942,300.2,26.0,8.2,2.28994,2.6,1536.880211163533,-2.0
9865,1597.9171203734747,2.8,2.1717819999999994,17.6,1.6,0.0,13.2,1.2417161174118518,4.930501036904753,2.763875819183886,1.562758,268.0,27.4,8.0,2.3493399999999998,2.6,1564.7637102522972,1642.2455944054939,1.4,1.7178041999999998,20.4,1.8,0.0,14.4,0.9469955302774906,3.2645487155765296,1.9764999475330114,1.5655442,227.4,27.4,5.6,1.64136,1.2,1689.4781201794208,0.0
9866,1680.1810262040358,2.0,2.1850074,15.6,2.6,0.0,12.8,1.9742933189496399,9.52485734988004,6.3800725733861325,2.1850074,260.0,21.8,9.8,2.1799,2.4,1653.5995252022403,1632.437793463436,2.4,1.6446238000000002,12.2,3.0,0.0,10.2,1.16517915725708,5.249311288446188,3.091270063444972,1.4923638,306.8,33.4,5.6,1.77072,2.0,1629.2860083614737,2.0
9867,1464.8057318360138,1.6,0.9945194,11.4,2.2,0.0,7.6,0.6123124659061432,1.6797022642567754,0.666659290343523,0.842259,230.6,26.6,4.8,0.8102199999999999,1.4,1430.9792864084907,1742.5935161809448,2.8,1.3508692000000002,12.8,2.4,0.0,10.2,1.1717880642041565,3.3853291396051644,1.7523507136851548,1.3508692,286.2,30.0,4.4,1.9796799999999997,3.0,1708.7391598127429,-1.0
9868,1824.105012584369,2.4,1.8207280000000001,15.2,2.8,0.2,11.6,1.2826405089348554,4.251507791504264,2.895329165458679,1.5162092,229.2,24.2,6.8,1.7275599999999998,2.4,1849.6381994111314,1398.4257099369613,0.4,0.6739982,9.4,3.6,0.2,7.0,0.3217782718129456,1.2278535936027766,0.7499421583488584,0.6739982,220.0,27.2,3.4,0.3562599999999999,0.8,1448.8752543923215,5.0
9869,1805.5519919508897,2.0,2.3638368,21.0,1.8,0.0,15.8,1.6853113155812025,5.9881266377866265,3.15845897346735,2.2115768,227.2,31.2,7.0,2.58678,2.4,1830.2476208273742,1389.8925055212085,1.0,1.4413287999999997,17.4,2.2,0.2,13.8,1.0968748845160008,2.8844442697241903,1.5858619229868054,1.2890688000000001,199.2,28.8,5.2,1.58864,1.0,1378.0353859996453,3.0
9870,1511.640402522779,1.8,1.6681356,15.0,2.4,0.0,9.8,1.1416384672746063,4.843092522770166,2.751155326142907,1.5158756,185.4,29.2,6.0,1.7015199999999997,2.2,1495.435747289804,1832.2011857573318,2.2,1.9933723999999997,16.8,2.2,0.0,11.4,1.3273699197918176,5.783339305222034,3.803826903551817,1.8411124,228.4,24.0,8.4,2.39912,2.6,1832.928090585006,-1.0
9871,1554.8197205252798,3.2,1.7079520000000001,11.0,2.0,0.0,8.2,1.3090011904016137,4.973452431522309,2.5818808771669866,1.555692,243.6,24.6,7.0,1.3324399999999998,2.4,1510.0274123621061,1812.8220901030754,3.0,1.7443753999999998,16.6,1.4,0.2,12.4,1.1716161457821728,4.512908642739058,2.603245535492897,1.5921174,237.2,22.4,7.0,1.72502,2.4,1805.76595505905,1.0
9872,1880.4990345263682,2.2,1.5509018,12.0,1.6,0.0,9.0,0.9728999000042677,4.039646799862385,2.5330997884273527,1.094139,264.8,21.2,7.0,2.0226999999999995,2.6,1876.4013602319926,1466.3952540436296,0.8,1.0950596,12.8,2.0,0.0,8.2,0.6005897052586079,2.5164975322782994,1.3153193486854433,0.9427996000000001,237.2,22.0,5.8,1.2487599999999999,0.8,1483.8938889156912,3.0
9873,1909.0899686090836,1.6,1.580474,15.6,2.2,0.2,12.0,1.1144133616238832,2.490197081118822,1.3114067368209361,1.2759548000000003,208.2,20.8,5.0,1.84952,2.6,1913.4749988483702,1523.2572514858814,2.8,1.3840515999999998,11.6,3.0,0.2,8.6,1.2625548850744963,6.188688955456018,4.494302446395158,1.3840516,211.0,23.6,8.0,1.5526399999999998,2.6,1471.2916767269153,1.0
